"","mech","impute_name","model","p","Cindex","sd","min","max"
"108","MNAR","CC","SRF",0.6,0.737584205362694,0.0357940219793224,0.676741893562105,0.78436193556529
"109","MNAR","MICE","CoxLasso",0,0.63232656483308,0.0301280209239301,0.594166956831687,0.665710283062146
"110","MNAR","MICE","CoxLasso",0.2,0.638207562304101,0.0309105383631181,0.572339610495272,0.665523136774244
"111","MNAR","MICE","CoxLasso",0.4,0.592750817756804,0.0320166918774683,0.534958754076632,0.646356370353829
"112","MNAR","MICE","CoxLasso",0.6,0.568277348455864,0.0407754961222957,0.5,0.653593530710731
"113","MNAR","MICE","CoxPH",0,0.663510539738793,0.0109186981772489,0.635442906318589,0.671440825026311
"114","MNAR","MICE","CoxPH",0.2,0.656895911802644,0.00836044921834984,0.64214559344341,0.668687845549279
"115","MNAR","MICE","CoxPH",0.4,0.642920746632067,0.0142532832958707,0.617620562127464,0.66358565660293
"116","MNAR","MICE","CoxPH",0.6,0.630666001037942,0.0176364922035468,0.60596395192353,0.654776729262671
"117","MNAR","MICE","SRF",0,0.740632010401898,0.00790801726910696,0.7266321620579,0.750170127746532
"118","MNAR","MICE","SRF",0.2,0.728414498782769,0.0103900058015646,0.709828438780371,0.74245321579271
"119","MNAR","MICE","SRF",0.4,0.715061406268848,0.009157833782932,0.699324438759738,0.728275911791263
"120","MNAR","MICE","SRF",0.6,0.698971230607824,0.0156354002807769,0.673387556978998,0.72476183969401
"121","MNAR","Mean","CoxLasso",0,0.653974254821227,0.0220078937628423,0.592216146424934,0.663476965807967
"122","MNAR","Mean","CoxLasso",0.2,0.631010258349761,0.034041283787344,0.569631082908993,0.659463021820642
"123","MNAR","Mean","CoxLasso",0.4,0.613167476017248,0.0339122515452877,0.571492596200573,0.658561188666193
"124","MNAR","Mean","CoxLasso",0.6,0.595409327349945,0.039758944811289,0.532678911771155,0.652065327713173
"125","MNAR","Mean","CoxPH",0,0.663504051840686,0.0109241761774252,0.635442906318589,0.671440825026311
"126","MNAR","Mean","CoxPH",0.2,0.659297141613335,0.00688567347957608,0.647607375227786,0.669900090639551
"127","MNAR","Mean","CoxPH",0.4,0.651576423601667,0.012744678106641,0.630626022283512,0.667775535120655
