"","mech","impute_name","model","p","Cindex","sd","min","max"
"50","MCAR","MICE","CoxPH",0.5,0.731387497461316,0.0158121462081562,0.71333641883288,0.742788513142628
"51","MCAR","MICE","CoxPH",0.8,0.674958445920116,0.00207534056858208,0.673357023282627,0.67730305575486
"52","MCAR","MICE","SRF",0.2,0.811092153084564,0.0052016214222289,0.80603342523608,0.816425767325098
"53","MCAR","MICE","SRF",0.5,0.731387497461316,0.0158121462081562,0.71333641883288,0.742788513142628
"54","MCAR","MICE","SRF",0.8,0.674958445920116,0.00207534056858208,0.673357023282627,0.67730305575486
"55","MCAR","Mean","CoxLasso",0.2,0.80466157766692,0.0123648752560468,0.790421402852647,0.812677882704883
"56","MCAR","Mean","CoxLasso",0.5,0.746835768283179,0.00746758764947417,0.739153161306905,0.754067945971085
"57","MCAR","Mean","CoxLasso",0.8,0.678973907502295,0.0168079073808463,0.667791310536503,0.698302669155246
"58","MCAR","Mean","CoxPH",0.2,0.821665477364692,0.013177366595206,0.806474466527047,0.830014562694587
"59","MCAR","Mean","CoxPH",0.5,0.767578243966924,0.0143506011512859,0.755834651286387,0.783574553955685
"60","MCAR","Mean","CoxPH",0.8,0.701035865911128,0.00821404546709086,0.696002549621482,0.710514552372593
"61","MCAR","Mean","SRF",0.2,0.821665477364692,0.013177366595206,0.806474466527047,0.830014562694587
"62","MCAR","Mean","SRF",0.5,0.767578243966924,0.0143506011512859,0.755834651286387,0.783574553955685
"63","MCAR","Mean","SRF",0.8,0.701035865911128,0.00821404546709086,0.696002549621482,0.710514552372593
"64","MCAR","mForest","CoxLasso",0.2,0.8065523431936,0.013651340588861,0.790910277521698,0.81606258768296
"65","MCAR","mForest","CoxLasso",0.5,0.728288016713797,0.0106278127086125,0.717917446610824,0.739155630493353
"66","MCAR","mForest","CoxLasso",0.8,0.662010198625273,0.00633576984006558,0.654835124943984,0.666834957239627
"67","MCAR","mForest","CoxPH",0.2,0.820395729416933,0.013696792404458,0.80462698860761,0.829334723990251
"68","MCAR","mForest","CoxPH",0.5,0.752988143230552,0.0128186484541787,0.740750606176773,0.766317997898576
"69","MCAR","mForest","CoxPH",0.8,0.68327926954574,0.00133267189341679,0.681771610265522,0.684300001783407
"70","MCAR","mForest","SRF",0.2,0.820395729416933,0.013696792404458,0.80462698860761,0.829334723990251
"71","MCAR","mForest","SRF",0.5,0.752988143230552,0.0128186484541787,0.740750606176773,0.766317997898576
"72","MCAR","mForest","SRF",0.8,0.68327926954574,0.00133267189341679,0.681771610265522,0.684300001783407
"73","MNAR","CC","CoxLasso",0.2,0.816077010055098,0.000416067791598017,0.815636891533539,0.816463905080751
"74","MNAR","CC","CoxLasso",0.5,0.739170878901152,0.00409763524774664,0.734484024508947,0.742076143754655
"75","MNAR","CC","CoxLasso",0.8,NA,NA,NA,NA
"76","MNAR","CC","CoxPH",0.2,0.833057398852536,0.00142369375744267,0.831752661078466,0.834575878829829
"77","MNAR","CC","CoxPH",0.5,0.754759055535301,0.00680814017830751,0.748369098574323,0.761919776092013
"78","MNAR","CC","CoxPH",0.8,NA,NA,NA,NA
"79","MNAR","CC","SRF",0.2,0.833057398852536,0.00142369375744267,0.831752661078466,0.834575878829829
"80","MNAR","CC","SRF",0.5,0.754759055535301,0.00680814017830751,0.748369098574323,0.761919776092013
"81","MNAR","CC","SRF",0.8,NA,NA,NA,NA
"82","MNAR","MICE","CoxLasso",0.2,0.800967768243346,0.00182286534517541,0.799333105377724,0.802933466365616
"83","MNAR","MICE","CoxLasso",0.5,0.740325573822365,0.0101119251179848,0.728781226365597,0.747613353350351
"84","MNAR","MICE","CoxLasso",0.8,0.671014479965648,0.00675933509355205,0.666785821722337,0.678810133581018
"85","MNAR","MICE","CoxPH",0.2,0.818667315529998,0.00202423187268063,0.817046714257786,0.820936298212252
"86","MNAR","MICE","CoxPH",0.5,0.756826615471129,0.0138798436197842,0.741095339089116,0.767346545743691
"87","MNAR","MICE","CoxPH",0.8,0.689619964570804,0.00837046202656009,0.680208425428605,0.696231470946719
"88","MNAR","MICE","SRF",0.2,0.818667315529998,0.00202423187268063,0.817046714257786,0.820936298212252
"89","MNAR","MICE","SRF",0.5,0.756826615471129,0.0138798436197842,0.741095339089116,0.767346545743691
"90","MNAR","MICE","SRF",0.8,0.689619964570804,0.00837046202656009,0.680208425428605,0.696231470946719
"91","MNAR","Mean","CoxLasso",0.2,0.810095168293311,0.0058947553299773,0.804190979120191,0.815980444268109
"92","MNAR","Mean","CoxLasso",0.5,0.760764985862223,0.013659650105726,0.74508404207672,0.770077545560704
"93","MNAR","Mean","CoxLasso",0.8,0.773863598203155,0.00798001593272973,0.76620740596875,0.782132155404412
"94","MNAR","Mean","CoxPH",0.2,0.829921351032228,0.00282490389324344,0.828094781827795,0.833175109029321
"95","MNAR","Mean","CoxPH",0.5,0.790272675490577,0.0101833574499147,0.778624419594932,0.797489416053205
"96","MNAR","Mean","CoxPH",0.8,0.797380929715328,0.00899097124270463,0.790362239085354,0.807515307125911
"97","MNAR","Mean","SRF",0.2,0.829921351032228,0.00282490389324344,0.828094781827795,0.833175109029321
"98","MNAR","Mean","SRF",0.5,0.790272675490577,0.0101833574499147,0.778624419594932,0.797489416053205
"99","MNAR","Mean","SRF",0.8,0.797380929715328,0.00899097124270463,0.790362239085354,0.807515307125911
"100","MNAR","mForest","CoxLasso",0.2,0.794240331205769,0.00295644007816001,0.791873685799573,0.79755432987596
"101","MNAR","mForest","CoxLasso",0.5,0.717186965145542,0.0162922196150278,0.701034294698408,0.733615237153712
"102","MNAR","mForest","CoxLasso",0.8,0.678023651093492,0.0240233039677045,0.651878488420924,0.699123808972136
"103","MNAR","mForest","CoxPH",0.2,0.814378310238644,0.0046178862463885,0.809049855499917,0.817217325930237
"104","MNAR","mForest","CoxPH",0.5,0.737005044608229,0.017009059358784,0.718388693928944,0.751733710314071
"105","MNAR","mForest","CoxPH",0.8,0.701620015990951,0.0125316484485321,0.687772957456129,0.712181737156477
"106","MNAR","mForest","SRF",0.2,0.814378310238644,0.0046178862463885,0.809049855499917,0.817217325930237
"107","MNAR","mForest","SRF",0.5,0.737005044608229,0.017009059358784,0.718388693928944,0.751733710314071
"108","MNAR","mForest","SRF",0.8,0.701620015990951,0.0125316484485321,0.687772957456129,0.712181737156477
